title,url,year,authors,venue,type,access,key,ee
ZEUS: Analyzing Safety of Smart Contracts.,https://dblp.org/rec/conf/ndss/KalraGDS18,2018,"['Sukrit Kalra', 'Seep Goel', 'Mohan Dhawan', 'Subodh Sharma 0001']",NDSS,Conference and Workshop Papers,open,conf/ndss/KalraGDS18,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_09-1_Kalra_paper.pdf
Implementation of smart contracts for blockchain based IoT applications.,https://dblp.org/rec/conf/nof/PapadodimasPLV18,2018,"['Georgios Papadodimas', 'Georgios Palaiokrassas', 'Antonios Litke', 'Theodora A. Varvarigou']",NOF,Conference and Workshop Papers,closed,conf/nof/PapadodimasPLV18,https://doi.org/10.1109/NOF.2018.8597718
Towards a management plane for smart contracts: Ethereum case study.,https://dblp.org/rec/conf/noms/KhanLFS18,2018,"['Nida Khan', 'Abdelkader Lahmadi', 'Jérôme François', 'Radu State']",NOMS,Conference and Workshop Papers,closed,conf/noms/KhanLFS18,https://doi.org/10.1109/NOMS.2018.8406326
"Design and implementation of an automated and decentralized pollution monitoring system with blockchains, smart contracts, and LoRaWAN.",https://dblp.org/rec/conf/noms/NiyaJBS18,2018,"['Sina Rafati Niya', 'Sanjiv S. Jha', 'Thomas Bocek', 'Burkhard Stiller']",NOMS,Conference and Workshop Papers,closed,conf/noms/NiyaJBS18,https://doi.org/10.1109/NOMS.2018.8406329
Setting up flexible and light weight trading with enhanced user privacy using smart contracts.,https://dblp.org/rec/conf/noms/NiyaSBS18,2018,"['Sina Rafati Niya', 'Florian Shupfer', 'Thomas Bocek', 'Burkhard Stiller']",NOMS,Conference and Workshop Papers,closed,conf/noms/NiyaSBS18,https://doi.org/10.1109/NOMS.2018.8406112
Position Paper on Blockchain Technology: Smart Contract and Applications.,https://dblp.org/rec/conf/nss/MengWWLYLZC18,2018,"['Weizhi Meng 0001', 'Jianfeng Wang', 'Xianmin Wang', 'Joseph K. Liu', 'Zuoxia Yu', 'Jin Li 0002', 'Yongjun Zhao 0001', 'Sherman S. M. Chow']",NSS,Conference and Workshop Papers,closed,conf/nss/MengWWLYLZC18,https://doi.org/10.1007/978-3-030-02744-5_35
Formal Verification of Smart Contracts Based on Users and Blockchain Behaviors Models.,https://dblp.org/rec/conf/ntms/AbdellatifB18,2018,"['Tesnim Abdellatif', 'Kei-Léo Brousmiche']",NTMS,Conference and Workshop Papers,closed,conf/ntms/AbdellatifB18,https://doi.org/10.1109/NTMS.2018.8328737
AlkylVM: A Virtual Machine for Smart Contract Blockchain Connected Internet of Things.,https://dblp.org/rec/conf/ntms/EllulP18,2018,"['Joshua Ellul', 'Gordon J. Pace']",NTMS,Conference and Workshop Papers,closed,conf/ntms/EllulP18,https://doi.org/10.1109/NTMS.2018.8328732
Recycling Smart Contracts: Compression of the Ethereum Blockchain.,https://dblp.org/rec/conf/ntms/PontiverosNS18,2018,"['Beltran Borja Fiz Pontiveros', 'Robert Norvill', 'Radu State']",NTMS,Conference and Workshop Papers,closed,conf/ntms/PontiverosNS18,https://doi.org/10.1109/NTMS.2018.8328742
Smart-Contract Based System Operations for Permissioned Blockchain.,https://dblp.org/rec/conf/ntms/SatoH18,2018,"['Tatsuya Sato', 'Yosuke Himura']",NTMS,Conference and Workshop Papers,closed,conf/ntms/SatoH18,https://doi.org/10.1109/NTMS.2018.8328745
Lessons Learned from Implementing a Privacy-Preserving Smart Contract in Ethereum.,https://dblp.org/rec/conf/ntms/UnterwegerKLE18,2018,"['Andreas Unterweger', 'Fabian Knirsch', 'Christoph Leixnering', 'Dominik Engel']",NTMS,Conference and Workshop Papers,closed,conf/ntms/UnterwegerKLE18,https://doi.org/10.1109/NTMS.2018.8328739
Security Assurance for Smart Contract.,https://dblp.org/rec/conf/ntms/ZhouHPSNYK18,2018,"['Ence Zhou', 'Song Hua', 'Bingfeng Pi', 'Jun Sun 0004', 'Yashihide Nomura', 'Kazuhiro Yamashita', 'Hidetoshi Kurihara']",NTMS,Conference and Workshop Papers,closed,conf/ntms/ZhouHPSNYK18,https://doi.org/10.1109/NTMS.2018.8328743
Semantic IoT Gateway: Towards Automated Generation of Privacy-Preserving Smart Contracts in the Internet of Things.,https://dblp.org/rec/conf/otm/LoukilGBB18,2018,"['Faiza Loukil', 'Chirine Ghedira Guegan', 'Khouloud Boukadi', 'Aïcha-Nabila Benharkat']",OTM Conferences,Conference and Workshop Papers,closed,conf/otm/LoukilGBB18,https://doi.org/10.1007/978-3-030-02610-3_12
Empirical Insights in the Current Development of Smart Contracts.,https://dblp.org/rec/conf/pacis/MohringK0RSB18,2018,"['Michael Möhring', 'Barbara Keller', 'Rainer Schmidt 0001', 'Anna-Lena Rippin', 'Janine Schulz', 'Karina Brückner']",PACIS,Conference and Workshop Papers,closed,conf/pacis/MohringK0RSB18,https://aisel.aisnet.org/pacis2018/146
Blockchain and Smart-Contracts Modeled in a SwarmESB Ecosystem.,https://dblp.org/rec/conf/pdcat/StanescuAP18,2018,"['Ioana Stanescu', 'Lenuta Alboaie', 'Andrei Panu']",PDCAT,Conference and Workshop Papers,closed,conf/pdcat/StanescuAP18,https://doi.org/10.1007/978-981-13-5907-1_45
SoK: Unraveling Bitcoin Smart Contracts.,https://dblp.org/rec/conf/post/AtzeiBCLZ18,2018,"['Nicola Atzei', 'Massimo Bartoletti', 'Tiziana Cimoli', 'Stefano Lande', 'Roberto Zunino']",POST,Conference and Workshop Papers,open,conf/post/AtzeiBCLZ18,https://doi.org/10.1007/978-3-319-89722-6_9
A Semantic Framework for the Security Analysis of Ethereum Smart Contracts.,https://dblp.org/rec/conf/post/GrishchenkoMS18,2018,"['Ilya Grishchenko', 'Matteo Maffei', 'Clara Schneidewind']",POST,Conference and Workshop Papers,open,conf/post/GrishchenkoMS18,https://doi.org/10.1007/978-3-319-89722-6_10
Tool Demonstration: FSolidM for Designing Secure Ethereum Smart Contracts.,https://dblp.org/rec/conf/post/MavridouL18,2018,"['Anastasia Mavridou', 'Aron Laszka']",POST,Conference and Workshop Papers,open,conf/post/MavridouL18,https://doi.org/10.1007/978-3-319-89722-6_11
Writing safe smart contracts in Flint.,https://dblp.org/rec/conf/programming/SchransED18,2018,"['Franklin Schrans', 'Susan Eisenbach', 'Sophia Drossopoulou']",Programming,Conference and Workshop Papers,closed,conf/programming/SchransED18,https://doi.org/10.1145/3191697.3213790
Smart Contracts for a Mobility-as-a-Service Ecosystem.,https://dblp.org/rec/conf/qrs/KarinsaloH18,2018,"['Anni Karinsalo', 'Kimmo Halunen']",QRS Companion,Conference and Workshop Papers,closed,conf/qrs/KarinsaloH18,https://doi.org/10.1109/QRS-C.2018.00036
A Legally Relevant Socio-Technical Language Development for Smart Contracts.,https://dblp.org/rec/conf/saso/DwivediN18,2018,"['Vimal Kumar Dwivedi', 'Alex Norta']",FAS*W@SASO/ICAC,Conference and Workshop Papers,closed,conf/saso/DwivediN18,https://doi.org/10.1109/FAS-W.2018.00016
Implementation of Smart Contracts Using Hybrid Architectures with On and Off-Blockchain Components.,https://dblp.org/rec/conf/sc2/Molina-JimenezS18,2018,"['Carlos Molina-Jiménez', 'Ioannis Sfyrakis', 'Ellis Solaiman', 'Irene C. L. Ng', 'Meng Weng Wong', 'Alexis Chun', 'Jon Crowcroft']",SC²,Conference and Workshop Papers,closed,conf/sc2/Molina-JimenezS18,https://doi.org/10.1109/SC2.2018.00018
Towards the continuous alignment of operational processes with views of Enterprise Architecture through smart contracts technology.,https://dblp.org/rec/conf/sccc/Pinzon-NunezH18,2018,"['Julio Pinzon-Nunez', 'Bernhard Hitpass']",SCCC,Conference and Workshop Papers,closed,conf/sccc/Pinzon-NunezH18,https://doi.org/10.1109/SCCC.2018.8705153
Smart Contract based API usage tracking on the Ethereum Blockchain.,https://dblp.org/rec/conf/se/HollSM18,2018,"['Patrick Holl', 'Elena Scepankova', 'Florian Matthes']",Software Engineering,Conference and Workshop Papers,closed,conf/se/HollSM18,https://dl.gi.de/handle/20.500.12116/16357
Secure IoT Supply Chain Management Solution Using Blockchain and Smart Contracts Technology.,https://dblp.org/rec/conf/secitc/TomaTBPIZ18,2018,"['Cristian Toma', 'Bogdan Talpiga', 'Catalin Boja', 'Marius Popa', 'Bogdan Iancu', 'Madalina Zurini']",SecITC,Conference and Workshop Papers,closed,conf/secitc/TomaTBPIZ18,https://doi.org/10.1007/978-3-030-12942-2_22
An Architectural Analysis of a Blockchain-Based Web Application for Supporting Smart Contracts and Hardening Security.,https://dblp.org/rec/conf/sigite/AtapattuC18,2018,"['Charith Atapattu', 'Sam Chung']",SIGITE,Conference and Workshop Papers,closed,conf/sigite/AtapattuC18,https://doi.org/10.1145/3241815.3241827
Formal Verification of Smart Contracts from the Perspective of Concurrency.,https://dblp.org/rec/conf/smartblock/QuHCWML18,2018,"['Meixun Qu', 'Xin Huang 0005', 'Xu Chen', 'Yi Wang', 'Xiaofeng Ma', 'Dawei Liu 0001']",SmartBlock,Conference and Workshop Papers,closed,conf/smartblock/QuHCWML18,https://doi.org/10.1007/978-3-030-05764-0_4
Design and Implementation of a Loan System Based on Smart Contract.,https://dblp.org/rec/conf/smartblock/YangXZLHL18,2018,"['Qi Yang', 'Fangfang Xu', 'Yu Zhang', 'Fang Liu 0031', 'Wei Hu 0001', 'Qinghan Liao']",SmartBlock,Conference and Workshop Papers,closed,conf/smartblock/YangXZLHL18,https://doi.org/10.1007/978-3-030-05764-0_3
A Simple Auditable Fingerprint Authentication Scheme Using Smart-Contracts.,https://dblp.org/rec/conf/smartblock/ZhouHWJ18,2018,"['Xiaohu Zhou', 'Yousif Hafedh', 'Yonghao Wang', 'Vitor Jesus']",SmartBlock,Conference and Workshop Papers,closed,conf/smartblock/ZhouHWJ18,https://doi.org/10.1007/978-3-030-05764-0_9
Smart Contract for Monitoring and Control of Logistics Activities: Pharmaceutical Utilities Case Study.,https://dblp.org/rec/conf/softcomp/Casado-VaraGPC18,2018,"['Roberto Casado-Vara', 'Alfonso González-Briones', 'Javier Prieto 0001', 'Juan M. Corchado']",SOCO-CISIS-ICEUTE,Conference and Workshop Papers,closed,conf/softcomp/Casado-VaraGPC18,https://doi.org/10.1007/978-3-319-94120-2_49
Interacting with the Internet of Things Using Smart Contracts and Blockchain Technologies.,https://dblp.org/rec/conf/spaccs/FotiouSP18,2018,"['Nikos Fotiou', 'Vasilios A. Siris', 'George C. Polyzos']",SpaCCS,Conference and Workshop Papers,closed,conf/spaccs/FotiouSP18,https://doi.org/10.1007/978-3-030-05345-1_38
Decentralized Release of Self-Emerging Data using Smart Contracts.,https://dblp.org/rec/conf/srds/LiP18,2018,"['Chao Li 0023', 'Balaji Palanisamy']",SRDS,Conference and Workshop Papers,closed,conf/srds/LiP18,https://doi.org/10.1109/SRDS.2018.00033
Turning Trust Around: Smart Contract-Assisted Public Key Infrastructure.,https://dblp.org/rec/conf/trustcom/AhmedA18,2018,"['Abu Shohel Ahmed', 'Tuomas Aura']",TrustCom/BigDataSE,Conference and Workshop Papers,closed,conf/trustcom/AhmedA18,https://doi.org/10.1109/TrustCom/BigDataSE.2018.00026
DecentID: Decentralized and Privacy-Preserving Identity Storage System Using Smart Contracts.,https://dblp.org/rec/conf/trustcom/FriebeSZ18,2018,"['Sebastian Friebe', 'Ingo Sobik', 'Martina Zitterbart']",TrustCom/BigDataSE,Conference and Workshop Papers,closed,conf/trustcom/FriebeSZ18,https://doi.org/10.1109/TrustCom/BigDataSE.2018.00016
Secure Data Provenance in Cloud-Centric Internet of Things via Blockchain Smart Contracts.,https://dblp.org/rec/conf/uic/AliWBJ18,2018,"['Saqib Ali', 'Guojun Wang 0001', 'Md. Zakirul Alam Bhuiyan', 'Hai Jiang 0003']",SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI,Conference and Workshop Papers,closed,conf/uic/AliWBJ18,https://doi.org/10.1109/SmartWorld.2018.00175
Enter the Hydra: Towards Principled Bug Bounties and Exploit-Resistant Smart Contracts.,https://dblp.org/rec/conf/uss/BreindenbachDTJ18,2018,"['Lorenz Breidenbach', 'Philip Daian', 'Florian Tramèr', 'Ari Juels']",USENIX Security Symposium,Conference and Workshop Papers,open,conf/uss/BreindenbachDTJ18,https://www.usenix.org/conference/usenixsecurity18/presentation/breindenbach
"Arbitrum: Scalable, private smart contracts.",https://dblp.org/rec/conf/uss/KalodnerGCWF18,2018,"['Harry A. Kalodner', 'Steven Goldfeder', 'Xiaoqi Chen', 'S. Matthew Weinberg', 'Edward W. Felten']",USENIX Security Symposium,Conference and Workshop Papers,open,conf/uss/KalodnerGCWF18,https://www.usenix.org/conference/usenixsecurity18/presentation/kalodner
teEther: Gnawing at Ethereum to Automatically Exploit Smart Contracts.,https://dblp.org/rec/conf/uss/KruppR18,2018,"['Johannes Krupp', 'Christian Rossow']",USENIX Security Symposium,Conference and Workshop Papers,open,conf/uss/KruppR18,https://www.usenix.org/conference/usenixsecurity18/presentation/krupp
Erays: Reverse Engineering Ethereum&apos;s Opaque Smart Contracts.,https://dblp.org/rec/conf/uss/ZhouKBMMB18,2018,"['Yi Zhou', 'Deepak Kumar 0006', 'Surya Bakshi', 'Joshua Mason', 'Andrew Miller 0001', 'Michael Bailey']",USENIX Security Symposium,Conference and Workshop Papers,open,conf/uss/ZhouKBMMB18,https://www.usenix.org/conference/usenixsecurity18/presentation/zhou
An introduction to Commitment Based Smart Contracts using ReactionRuleML.,https://dblp.org/rec/conf/vmbo/KruijffW18,2018,"['Joost T. de Kruijff', 'Hans Weigand']",VMBO,Conference and Workshop Papers,open,conf/vmbo/KruijffW18,https://ceur-ws.org/Vol-2239/article_16.pdf
Towards Verification of Ethereum Smart Contracts: A Formalization of Core of Solidity.,https://dblp.org/rec/conf/vstte/Zakrzewski18,2018,[],VSTTE,Conference and Workshop Papers,closed,conf/vstte/Zakrzewski18,https://doi.org/10.1007/978-3-030-03592-1_13
Smart contracts vulnerabilities: a call for blockchain software engineering?,https://dblp.org/rec/conf/wcre/DestefanisMOTBH18,2018,"['Giuseppe Destefanis', 'Michele Marchesi', 'Marco Ortu', 'Roberto Tonelli', 'Andrea Bracciali', 'Robert M. Hierons']",IWBOSE@SANER,Conference and Workshop Papers,closed,conf/wcre/DestefanisMOTBH18,https://doi.org/10.1109/IWBOSE.2018.8327567
The ICO phenomenon and its relationships with ethereum smart contract environment.,https://dblp.org/rec/conf/wcre/FenuMMT18,2018,"['Gianni Fenu', 'Lodovica Marchesi', 'Michele Marchesi', 'Roberto Tonelli']",IWBOSE@SANER,Conference and Workshop Papers,closed,conf/wcre/FenuMMT18,https://doi.org/10.1109/IWBOSE.2018.8327568
Smart contracts: security patterns in the ethereum ecosystem and solidity.,https://dblp.org/rec/conf/wcre/WohrerZ18,2018,"['Maximilian Wöhrer', 'Uwe Zdun']",IWBOSE@SANER,Conference and Workshop Papers,closed,conf/wcre/WohrerZ18,https://doi.org/10.1109/IWBOSE.2018.8327565
Decentralized Voting: A Self-tallying Voting System Using a Smart Contract on the Ethereum Blockchain.,https://dblp.org/rec/conf/wise/YangYNH18,2018,"['Xuechao Yang', 'Xun Yi', 'Surya Nepal', 'Fengling Han']",WISE,Conference and Workshop Papers,closed,conf/wise/YangYNH18,https://doi.org/10.1007/978-3-030-02922-7_2
Ethereum smart contracts as blockchain-oriented microservices.,https://dblp.org/rec/conf/xpu/TonelliPBI18,2018,"['Roberto Tonelli', 'Andrea Pinna 0002', 'Gavina Baralla', 'Simona Ibba']",XP Companion,Conference and Workshop Papers,closed,conf/xpu/TonelliPBI18,https://doi.org/10.1145/3234152.3234190
"Blockchains, Smart Contracts and Future Applications (Dagstuhl Seminar 18152).",https://dblp.org/rec/journals/dagstuhl-reports/Baldimtsi0LW18,2018,"['Foteini Baldimtsi', 'Stefan Katzenbeisser 0001', 'Volkmar Lotz', 'Edgar R. Weippl']",Dagstuhl Reports,Informal and Other Publications,open,journals/dagstuhl-reports/Baldimtsi0LW18,https://doi.org/10.4230/DagRep.8.4.20
SoK: unraveling Bitcoin smart contracts.,https://dblp.org/rec/journals/iacr/AtzeiBCLZ18,2018,"['Nicola Atzei', 'Massimo Bartoletti', 'Tiziana Cimoli', 'Stefano Lande', 'Roberto Zunino']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/AtzeiBCLZ18,http://eprint.iacr.org/2018/192
Fun with Bitcoin smart contracts.,https://dblp.org/rec/journals/iacr/BartolettiCZ18,2018,"['Massimo Bartoletti', 'Tiziana Cimoli', 'Roberto Zunino']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/BartolettiCZ18,https://eprint.iacr.org/2018/398
BitML: a calculus for Bitcoin smart contracts.,https://dblp.org/rec/journals/iacr/BartolettiZ18,2018,"['Massimo Bartoletti', 'Roberto Zunino']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/BartolettiZ18,http://eprint.iacr.org/2018/122
"Betrayal, Distrust, and Rationality: Smart Counter-Collusion Contracts for Verifiable Cloud Computing.",https://dblp.org/rec/journals/iacr/DongWAMM18,2018,"['Changyu Dong', 'Yilei Wang', 'Amjad Aldweesh', 'Patrick McCorry', 'Aad van Moorsel']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/DongWAMM18,https://eprint.iacr.org/2018/489
Automated Penalization of Data Breaches using Crypto-augmented Smart Contracts.,https://dblp.org/rec/journals/iacr/MangipudiRCK18,2018,"['Easwar Vivek Mangipudi', 'Krutarth Rao', 'Jeremy Clark', 'Aniket Kate']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/MangipudiRCK18,https://eprint.iacr.org/2018/1050
Smart contracts for bribing miners.,https://dblp.org/rec/journals/iacr/McCorryHM18,2018,"['Patrick McCorry', 'Alexander Hicks', 'Sarah Meiklejohn']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/McCorryHM18,https://eprint.iacr.org/2018/581
Keeping Time-Release Secrets through Smart Contracts.,https://dblp.org/rec/journals/iacr/NingDHC18,2018,"['Jianting Ning', 'Hung Dang', 'Ruomu Hou', 'Ee-Chien Chang']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/NingDHC18,https://eprint.iacr.org/2018/1166
"Towards a Smart Contract-based, Decentralized, Public-Key Infrastructure.",https://dblp.org/rec/journals/iacr/PatsonakisSRK18,2018,"['Christos Patsonakis', 'Katerina Samari', 'Mema Roussopoulos', 'Aggelos Kiayias']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/PatsonakisSRK18,https://eprint.iacr.org/2018/853
Senopra: Reconciling Data Privacy and Utility via Attested Smart Contract Execution.,https://dblp.org/rec/journals/iacr/TienE18,2018,"['Dat Le Tien', 'Frank Eliassen']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/TienE18,https://eprint.iacr.org/2018/1246
The Limit of Blockchains: Infeasibility of a Smart Obama-Trump Contract.,https://dblp.org/rec/journals/iacr/WangM18,2018,"['Yongge Wang', 'Qutaibah M. Malluhi']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/WangM18,http://eprint.iacr.org/2018/252
"Research for practice: cryptocurrencies, blockchains, and smart contracts; hardware for deep learning.",https://dblp.org/rec/journals/cacm/BailisNMH17,2017,"['Peter Bailis', 'Arvind Narayanan', 'Andrew Miller 0001', 'Song Han 0003']",Commun. ACM,Journal Articles,closed,journals/cacm/BailisNMH17,https://doi.org/10.1145/3024928
Latent-level relations between DSM-5 PTSD symptom clusters and problematic smartphone use.,https://dblp.org/rec/journals/chb/ContractorFWE17,2017,"['Ateka A. Contractor', 'Sheila B. Frankfurt', 'Nicole H. Weiss', 'Jon D. Elhai']",Comput. Hum. Behav.,Journal Articles,closed,journals/chb/ContractorFWE17,https://doi.org/10.1016/j.chb.2017.02.051
PTSD&apos;s relation with problematic smartphone use: Mediating role of impulsivity.,https://dblp.org/rec/journals/chb/ContractorWTE17,2017,"['Ateka A. Contractor', 'Nicole H. Weiss', 'Matthew T. Tull', 'Jon D. Elhai']",Comput. Hum. Behav.,Journal Articles,closed,journals/chb/ContractorWTE17,https://doi.org/10.1016/j.chb.2017.05.018
Validation and Verification of Smart Contracts: A Research Agenda.,https://dblp.org/rec/journals/computer/MagazzeniMN17,2017,"['Daniele Magazzeni', 'Peter McBurney', 'William Nash']",Computer,Journal Articles,closed,journals/computer/MagazzeniMN17,https://doi.org/10.1109/MC.2017.3571045
Life Cycle of Smart Contracts in Blockchain Ecosystems.,https://dblp.org/rec/journals/dud/SillaberW17,2017,"['Christian Sillaber', 'Bernhard Waltl']",Datenschutz und Datensicherheit,Journal Articles,closed,journals/dud/SillaberW17,https://doi.org/10.1007/s11623-017-0819-7
Beyond bitcoin: an early overview on smart contracts.,https://dblp.org/rec/journals/ijlit/Cuccuru17,2017,[],Int. J. Law Inf. Technol.,Journal Articles,closed,journals/ijlit/Cuccuru17,https://doi.org/10.1093/ijlit/eax003
Smart Contracts.,https://dblp.org/rec/journals/insk/Meitinger17,2017,[],Inform. Spektrum,Journal Articles,closed,journals/insk/Meitinger17,https://doi.org/10.1007/s00287-017-1045-2
Smart Contracts - Dumb Idea.,https://dblp.org/rec/journals/internet/OHara17,2017,[],IEEE Internet Comput.,Journal Articles,closed,journals/internet/OHara17,https://doi.org/10.1109/MIC.2017.48
Smart Contract Negotiation in Cloud Computing.,https://dblp.org/rec/conf/IEEEcloud/ScocaUN17,2017,"['Vincenzo Scoca', 'Rafael Brundo Uriarte', 'Rocco De Nicola']",CLOUD,Conference and Workshop Papers,closed,conf/IEEEcloud/ScocaUN17,https://doi.org/10.1109/CLOUD.2017.81
A Blockchain-Based Architecture for Collaborative DDoS Mitigation with Smart Contracts.,https://dblp.org/rec/conf/aims/RodriguesBLHRS17,2017,"['Bruno Rodrigues 0001', 'Thomas Bocek', 'Andri Lareida', 'David Hausheer', 'Sina Rafati 0001', 'Burkhard Stiller']",AIMS,Conference and Workshop Papers,open,conf/aims/RodriguesBLHRS17,https://doi.org/10.1007/978-3-319-60774-0_2
Blockchain and Smart Contracts: Disruptive Technologies for the Insurance Market.,https://dblp.org/rec/conf/amcis/HansZRS17,2017,"['Ronny Hans', 'Hendrik Zuber', 'Amr Rizk', 'Ralf Steinmetz']",AMCIS,Conference and Workshop Papers,closed,conf/amcis/HansZRS17,http://aisel.aisnet.org/amcis2017/eBusiness/Presentations/31
Sustainable blockchain-enabled services: Smart contracts.,https://dblp.org/rec/conf/bigdataconf/WrightS17,2017,"['Craig S. Wright', 'Antoaneta Serguieva']",IEEE BigData,Conference and Workshop Papers,closed,conf/bigdataconf/WrightS17,https://doi.org/10.1109/BigData.2017.8258452
"Towards a Smart Contract-Based, Decentralized, Public-Key Infrastructure.",https://dblp.org/rec/conf/cans/PatsonakisSRK17,2017,"['Christos Patsonakis', 'Katerina Samari', 'Mema Roussopoulos', 'Aggelos Kiayias']",CANS,Conference and Workshop Papers,closed,conf/cans/PatsonakisSRK17,https://doi.org/10.1007/978-3-030-02641-7_14
"Betrayal, Distrust, and Rationality: Smart Counter-Collusion Contracts for Verifiable Cloud Computing.",https://dblp.org/rec/conf/ccs/DongWAMM17,2017,"['Changyu Dong', 'Yilei Wang', 'Amjad Aldweesh', 'Patrick McCorry', 'Aad van Moorsel']",CCS,Conference and Workshop Papers,closed,conf/ccs/DongWAMM17,https://doi.org/10.1145/3133956.3134032
Reputation-Based Trust Evaluation Mechanism for Decentralized Environments and Its Applications Based on Smart Contracts.,https://dblp.org/rec/conf/csa2/ChanTCW17,2017,"['Kun-Tai Chan', 'Raylin Tso', 'Chien-Ming Chen 0001', 'Mu-En Wu']",CSA/CUTE,Conference and Workshop Papers,closed,conf/csa2/ChanTCW17,https://doi.org/10.1007/978-981-10-7605-3_51
Design of a Smart Contract Based Autonomous Organization for Sustainable Software.,https://dblp.org/rec/conf/eScience/AlimogluO17,2017,"['Alper Alimoglu', 'Can C. Özturan']",eScience,Conference and Workshop Papers,closed,conf/eScience/AlimogluO17,https://doi.org/10.1109/eScience.2017.76
In Code We Trust? - Measuring the Control Flow Immutability of All Smart Contracts Deployed on Ethereum.,https://dblp.org/rec/conf/esorics/FrowisB17,2017,"['Michael Fröwis', 'Rainer Böhme']",DPM/CBT@ESORICS,Conference and Workshop Papers,closed,conf/esorics/FrowisB17,https://doi.org/10.1007/978-3-319-67816-0_20
"TRiC: Terms, RIghts and Conditions Semantic Descriptors for Smart Contracts.",https://dblp.org/rec/conf/esws/IbanezS17,2017,"['Luis-Daniel Ibáñez', 'Elena Simperl']",ESWC,Conference and Workshop Papers,closed,conf/esws/IbanezS17,https://doi.org/10.1007/978-3-319-70407-4_40
"An Empirical Analysis of Smart Contracts: Platforms, Applications, and Design Patterns.",https://dblp.org/rec/conf/fc/BartolettiP17a,2017,"['Massimo Bartoletti', 'Livio Pompianu']",Financial Cryptography Workshops,Conference and Workshop Papers,closed,conf/fc/BartolettiP17a,https://doi.org/10.1007/978-3-319-70278-0_31
Decentralized Execution of Smart Contracts: Agent Model Perspective and Its Implications.,https://dblp.org/rec/conf/fc/ChenXSGLS17,2017,"['Lin Chen 0009', 'Lei Xu 0012', 'Nolan Shah', 'Zhimin Gao', 'Yang Lu 0010', 'Weidong Shi']",Financial Cryptography Workshops,Conference and Workshop Papers,closed,conf/fc/ChenXSGLS17,https://doi.org/10.1007/978-3-319-70278-0_29
"Trust in Smart Contracts is a Process, As Well.",https://dblp.org/rec/conf/fc/KhalilBOC17,2017,"['Firas Al Khalil', 'Tom Butler', 'Leona O&apos;Brien', 'Marcello Ceci']",Financial Cryptography Workshops,Conference and Workshop Papers,closed,conf/fc/KhalilBOC17,https://doi.org/10.1007/978-3-319-70278-0_32
A Smart Contract for Boardroom Voting with Maximum Voter Privacy.,https://dblp.org/rec/conf/fc/McCorrySH17,2017,"['Patrick McCorry', 'Siamak F. Shahandashti', 'Feng Hao 0001']",Financial Cryptography,Conference and Workshop Papers,closed,conf/fc/McCorrySH17,https://doi.org/10.1007/978-3-319-70972-7_20
A Concurrent Perspective on Smart Contracts.,https://dblp.org/rec/conf/fc/SergeyH17,2017,"['Ilya Sergey', 'Aquinas Hobor']",Financial Cryptography Workshops,Conference and Workshop Papers,closed,conf/fc/SergeyH17,https://doi.org/10.1007/978-3-319-70278-0_30
Smart Contracts Make Bitcoin Mining Pools Vulnerable.,https://dblp.org/rec/conf/fc/VelnerTL17,2017,"['Yaron Velner', 'Jason Teutsch', 'Loi Luu']",Financial Cryptography Workshops,Conference and Workshop Papers,closed,conf/fc/VelnerTL17,https://doi.org/10.1007/978-3-319-70278-0_19
"Legally Speaking: Smart Contracts, Archival Bonds, and Linked Data in the Blockchain.",https://dblp.org/rec/conf/icccn/Hofman17,2017,[],ICCCN,Conference and Workshop Papers,closed,conf/icccn/Hofman17,https://doi.org/10.1109/ICCCN.2017.8038515
A Perspective on Blockchain Smart Contracts: Reducing Uncertainty and Complexity in Value Exchange.,https://dblp.org/rec/conf/icccn/KimL17,2017,"['Henry M. Kim', 'Marek Laskowski']",ICCCN,Conference and Workshop Papers,closed,conf/icccn/KimL17,https://doi.org/10.1109/ICCCN.2017.8038512
Secured transactions technique based on smart contracts for situational awareness tools.,https://dblp.org/rec/conf/icitst/GrafK17,2017,"['Roman Graf', 'Ross King']",ICITST,Conference and Workshop Papers,closed,conf/icitst/GrafK17,https://doi.org/10.23919/ICITST.2017.8356352
